Time_Sample	C0101	C0102	C0201	C0202	C0301	C0302	C0401	C0402	C0501	C0502	C0601	C0602	C0701	C0702	C0801	C0802	C0901	C0902	C1001	C1002		
0	0.259	0.269	0.276	0.269	0.441	0.341	0.336	0.483	0.451	0.337	0.293	0.263	0.193	0.235	0.211	0.208	0.301	0.319	0.29	0.429		
1	0.259	0.269	0.276	0.269	0.441	0.341	0.336	0.483	0.451	0.336	0.292	0.263	0.192	0.235	0.211	0.208	0.301	0.319	0.29	0.429		
2	0.259	0.269	0.276	0.269	0.441	0.341	0.336	0.483	0.451	0.335	0.292	0.263	0.193	0.235	0.211	0.208	0.301	0.319	0.29	0.43		
3	0.259	0.269	0.276	0.269	0.441	0.341	0.336	0.483	0.451	0.336	0.292	0.263	0.193	0.235	0.211	0.208	0.301	0.319	0.29	0.43		
4	0.259	0.269	0.276	0.269	0.441	0.341	0.336	0.483	0.451	0.337	0.292	0.263	0.193	0.235	0.211	0.208	0.301	0.319	0.29	0.43		
5	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.483	0.451	0.336	0.292	0.263	0.192	0.235	0.211	0.208	0.301	0.319	0.29	0.431		
6	0.259	0.269	0.276	0.269	0.441	0.341	0.336	0.483	0.451	0.336	0.292	0.263	0.193	0.235	0.211	0.208	0.301	0.319	0.29	0.431		
7	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.483	0.451	0.336	0.292	0.263	0.193	0.235	0.211	0.207	0.301	0.319	0.29	0.432		
8	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.483	0.451	0.335	0.292	0.263	0.193	0.234	0.211	0.208	0.301	0.319	0.29	0.432		
9	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.483	0.451	0.335	0.293	0.263	0.193	0.235	0.211	0.208	0.301	0.319	0.29	0.433		
10	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.483	0.451	0.336	0.293	0.263	0.193	0.235	0.211	0.208	0.301	0.319	0.29	0.433		
11	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.482	0.451	0.336	0.292	0.263	0.192	0.234	0.211	0.207	0.301	0.319	0.29	0.434		
12	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.482	0.451	0.336	0.292	0.263	0.193	0.235	0.211	0.208	0.301	0.319	0.29	0.434		
13	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.482	0.451	0.335	0.292	0.263	0.192	0.234	0.211	0.208	0.301	0.319	0.29	0.435		
14	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.482	0.451	0.335	0.293	0.263	0.193	0.234	0.21	0.208	0.301	0.319	0.29	0.435		
15	0.259	0.269	0.276	0.27	0.44	0.341	0.336	0.482	0.451	0.335	0.293	0.263	0.192	0.234	0.21	0.208	0.3	0.319	0.29	0.436		
16	0.259	0.269	0.276	0.27	0.44	0.341	0.336	0.482	0.451	0.336	0.292	0.263	0.193	0.234	0.211	0.208	0.3	0.319	0.29	0.436		
17	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.482	0.451	0.336	0.293	0.263	0.192	0.234	0.211	0.207	0.3	0.319	0.29	0.437		
18	0.259	0.269	0.276	0.27	0.44	0.341	0.336	0.482	0.451	0.336	0.292	0.263	0.192	0.234	0.211	0.207	0.3	0.319	0.29	0.437		
19	0.258	0.269	0.276	0.269	0.44	0.341	0.336	0.482	0.451	0.335	0.292	0.263	0.192	0.234	0.211	0.207	0.3	0.319	0.29	0.438		
20	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.482	0.452	0.334	0.292	0.263	0.192	0.234	0.211	0.208	0.3	0.319	0.29	0.438		
21	0.259	0.269	0.276	0.27	0.44	0.341	0.336	0.482	0.452	0.334	0.292	0.263	0.192	0.234	0.211	0.208	0.301	0.319	0.29	0.439		
22	0.259	0.269	0.276	0.269	0.44	0.341	0.336	0.482	0.452	0.335	0.292	0.263	0.192	0.234	0.21	0.208	0.3	0.319	0.29	0.439		
