Trial_ID,Batch_Day,MQ3_R0,MQ9_R0,MQ135_R0,MQ3_V,MQ9_V,MQ135_V,TVOC_ppb,eCO2_ppm,Temp_C,Humidity_pct,Label
1,1,0.4493,0.1795,0.3511,1.1508,0.4567,0.8759,329.24,421.15,24.49,45.16,Glycerol
2,1,0.4104,0.1641,0.3787,1.1973,0.4258,0.9185,342.71,410.68,24.26,52.03,Glycerol
3,1,0.3806,0.1519,0.3158,1.971,0.4843,1.0578,1944.08,459.14,25.43,44.28,Ethanol
4,1,0.4163,0.1349,0.3458,1.3062,0.652,1.0695,450.27,394.16,25.67,46.36,Hydrogen Peroxide
5,1,0.3819,0.143,0.3705,1.3149,0.6284,1.1225,441.0,408.34,25.35,45.87,Hydrogen Peroxide
6,1,0.4163,0.1469,0.3807,2.0704,0.4869,0.9455,2203.42,414.7,25.68,47.16,Ethyl Acetate
7,1,0.399,0.1405,0.3412,2.0931,0.4909,1.0191,2180.03,420.89,25.35,45.17,Ethyl Acetate
8,1,0.3766,0.1485,0.332,1.0263,0.4528,1.7157,585.12,458.22,25.03,44.67,Ammonia
9,1,0.4006,0.1504,0.366,1.1952,0.4448,0.8995,346.95,431.0,24.41,50.74,Glycerol
10,1,0.3502,0.166,0.3555,1.7074,0.443,0.9836,1508.92,464.72,24.32,47.55,Acetone
11,1,0.3869,0.1568,0.3507,1.188,0.4553,0.9074,255.43,407.48,25.22,54.74,Distilled Water
12,1,0.4166,0.1378,0.3612,1.3088,0.6214,1.1144,446.56,414.79,25.18,45.5,Hydrogen Peroxide
13,1,0.4124,0.1599,0.3268,1.6552,0.4383,0.9585,1553.96,444.77,24.73,46.61,Acetone
14,1,0.4155,0.1384,0.3483,2.0439,0.4919,1.0216,2167.28,414.11,25.48,41.97,Ethyl Acetate
15,1,0.4174,0.1368,0.3375,1.1848,0.4827,1.3619,688.08,475.38,25.29,45.42,Acetic Acid
16,1,0.43,0.1517,0.3862,2.0334,0.489,1.0751,1952.53,432.36,24.67,46.01,Ethanol
17,1,0.398,0.1484,0.3447,2.0846,0.4931,1.0399,2196.93,409.65,24.17,44.25,Ethyl Acetate
18,1,0.3761,0.1418,0.3699,1.2236,0.4476,0.9124,336.69,405.63,24.45,48.09,Glycerol
19,1,0.3971,0.1496,0.3437,1.2207,0.4531,0.8941,260.25,405.28,25.79,57.26,Distilled Water
20,1,0.4026,0.1431,0.322,1.1157,0.452,1.7714,629.64,447.65,25.76,40.85,Ammonia
21,1,0.4005,0.1388,0.3092,1.206,0.4398,0.8703,330.86,402.38,25.05,54.65,Glycerol
22,1,0.3876,0.1577,0.3718,1.2013,0.4481,0.8962,340.67,409.8,25.27,44.02,Glycerol
23,1,0.3987,0.151,0.3633,1.6497,0.457,1.0234,1575.47,467.87,24.63,46.16,Acetone
24,1,0.3714,0.1633,0.3281,1.2221,0.4272,0.8927,330.03,407.7,25.29,52.65,Glycerol
25,1,0.3933,0.1487,0.3168,1.3365,0.6478,1.1477,455.2,415.13,25.6,43.89,Hydrogen Peroxide
26,1,0.4296,0.1472,0.358,1.1429,0.4739,1.8084,618.69,462.05,24.51,43.3,Ammonia
27,1,0.4025,0.1527,0.369,1.2295,0.4543,0.8957,337.55,412.9,24.41,47.12,Glycerol
28,1,0.4025,0.1512,0.3499,1.1903,0.4917,1.3098,676.6,479.32,25.25,46.04,Acetic Acid
29,1,0.3629,0.1457,0.3537,1.9997,0.4915,1.0654,1952.73,440.81,25.14,44.37,Ethanol
30,1,0.396,0.1569,0.3569,2.0299,0.4971,1.0887,1972.26,451.02,24.43,45.3,Ethanol
31,1,0.3999,0.1561,0.4165,1.6489,0.4416,1.0274,1536.17,464.16,26.09,42.9,Acetone
32,1,0.4081,0.1586,0.322,1.3171,0.6245,1.0946,468.19,423.11,25.47,46.63,Hydrogen Peroxide
33,1,0.4027,0.1564,0.3605,1.226,0.4534,0.9196,334.36,413.28,24.21,51.77,Glycerol
34,1,0.4107,0.1397,0.3559,1.2387,0.4473,0.9272,250.4,400.5,25.37,58.81,Distilled Water
35,1,0.4084,0.152,0.3413,1.1773,0.4465,0.9227,339.03,401.09,24.95,50.73,Glycerol
36,1,0.3959,0.1491,0.3194,1.6509,0.444,0.9541,1543.94,431.04,23.83,44.54,Acetone
37,1,0.4054,0.1376,0.3409,1.6412,0.4544,0.9323,1421.78,469.38,23.87,46.52,Acetone
38,1,0.4092,0.1575,0.3724,1.2966,0.6328,1.1758,450.85,412.19,24.77,46.36,Hydrogen Peroxide
39,1,0.3968,0.1603,0.3493,1.0955,0.4492,1.7999,602.83,465.39,24.6,43.42,Ammonia
40,1,0.3994,0.1555,0.3577,1.4169,0.4351,0.9693,974.26,418.75,25.09,44.39,Propylene Glycol
41,1,0.4108,0.1412,0.341,1.2,0.4659,1.38,670.63,469.08,24.38,45.88,Acetic Acid
42,1,0.3887,0.1538,0.354,1.11,0.447,1.7772,599.07,443.99,25.26,46.52,Ammonia
43,1,0.4133,0.1399,0.3445,1.6603,0.4451,1.0072,1591.96,450.38,24.87,42.92,Acetone
44,1,0.4205,0.1687,0.3296,1.1853,0.4467,0.9003,334.57,409.65,24.3,46.96,Glycerol
45,1,0.4498,0.1439,0.3567,1.2752,0.6345,1.1214,436.3,418.15,24.3,44.23,Hydrogen Peroxide
46,1,0.3952,0.1604,0.3563,1.2473,0.4604,0.9104,246.25,412.47,24.79,55.82,Distilled Water
47,1,0.4229,0.1534,0.3369,1.2851,0.6244,1.1496,460.05,419.94,25.0,45.74,Hydrogen Peroxide
48,1,0.3655,0.1552,0.3603,1.2092,0.4385,0.9216,259.44,406.62,25.0,58.74,Distilled Water
49,1,0.4212,0.1554,0.3348,1.3247,0.6467,1.1342,459.73,416.08,25.04,44.77,Hydrogen Peroxide
50,1,0.4059,0.144,0.37,1.3698,0.4665,0.9496,929.44,421.11,25.55,43.83,Propylene Glycol
51,1,0.3723,0.1587,0.3319,1.3633,0.6164,1.1228,462.35,413.38,25.07,42.75,Hydrogen Peroxide
52,1,0.3789,0.1483,0.3386,1.6626,0.4509,0.9903,1577.04,451.12,25.48,43.48,Acetone
